Ta+Au @ 40A MeV from TAPS experiment at GANIL - Selected photon pairs.
TOF1[ns]TOF2[ns] E1[MeV]E2[MeV] Theta1 Theta2   Phi1    Phi2
1.828   1.554    25.17  65.22  110.41  154.74 -171.25 -179.77
1.504   0.865    35.78  53.11   47.35   66.66  159.76   -4.09
1.446   1.188    29.47 153.56  106.68   49.26  169.38   -2.99
1.360   0.798    41.15  32.14   97.00   48.18   16.18   19.73
1.491   1.145    25.40  33.38  100.14  134.75 -180.00  178.55
1.218   0.825    27.26  44.52  148.92   98.86  169.46   13.74
1.436   2.471    44.24  59.76   56.03  146.22  170.22  -10.83
2.331   2.364    45.29  31.22  108.66  106.99  162.79    3.71
1.795   1.923    26.64  30.58  102.26  144.33  173.08 -164.50
2.452   2.596    25.43  25.17  142.70  111.27   19.71   12.48
0.885   1.527   106.77  47.62   62.09   97.62  177.57   -4.84
1.777   1.502    75.21  61.04   63.79  108.63 -164.20   12.16
1.276   0.996    41.54  28.69   93.16   48.54  -14.53   16.33
2.259   2.337    33.73  45.40  107.28   95.75  167.31  -12.34
1.305   1.590    22.56  31.07  139.43   61.15   -1.47    7.08
1.834   1.735    58.25  36.68   59.70   84.49  159.90 -172.74
1.542   1.072    22.25  26.25  141.47   69.83   26.92   11.72
1.245   1.308    24.89  50.57  106.24  165.33  176.22   21.60
1.167   1.536    78.61  58.69   93.63   52.16  170.18   11.67
1.427   0.892    75.40  45.40  144.80   49.44 -160.81    7.66
0.889   1.140    28.85  32.76   92.98   48.32   -8.49  -17.33
2.411   2.219    26.49  35.63   93.24  114.70  172.85  -14.77
1.810   1.947    29.36  28.50  105.04   51.32 -174.20   -7.14
1.483   2.240    34.70  26.75  144.53  144.99 -161.54  -29.69
1.658   1.483    81.64  50.49   60.69  106.59 -178.85   -9.35
1.572   1.526    95.73  29.44   58.72  100.97 -164.11  166.04
2.331   2.159    37.74  30.09   48.22  139.54  157.37  -20.08
2.188   2.329    86.91  25.56  131.41  140.58  175.29    9.49
1.423   1.567    32.68  22.30  103.08  152.89 -178.27   12.10
1.456   1.412   107.35  79.82  111.91  153.16 -167.89  -20.99
1.183   2.039    28.54  23.65  138.14  119.86   22.24    8.36
1.361   1.948    32.60  40.10  110.06  159.28  169.24   16.58
0.683   1.779    33.70  35.78  110.60   51.74  -16.73  -17.10
1.343   1.440    22.76  49.87  145.98   97.25 -169.79    9.92
1.772   1.899    38.96  26.05   64.70   66.53  178.64  -14.96
2.313   1.446    27.81  26.32   51.91   98.16  169.06  177.21
1.414   1.751    39.32  26.10   52.97  152.95  174.73  -17.77
2.036   1.361    37.51  90.54  100.64  104.72 -162.12    3.48
1.834   1.291    42.04  36.48   64.00  104.02  172.18 -173.53
1.231   1.719    35.24  38.85  113.98   50.62  -19.66   23.72
1.418   1.362    26.44  28.95   65.62  140.33  176.59  -19.46
1.270   1.405    36.25  39.27   55.96  117.59  171.56   17.13
1.516   0.911    49.79  29.75   97.80   56.75  164.18  -21.03
2.160   1.643    42.81  40.48  110.96   53.66 -162.53   14.78
1.373   1.516    28.77  27.56  132.46   49.62  175.93   20.53
1.611   1.471    86.35  25.98   92.58  150.90  172.59   12.00
1.527   1.885    65.81  56.22  149.73   51.13  167.88   22.19
1.220   1.757    41.14  23.23   85.50  136.89 -173.34   16.64
1.729   1.963    27.88  34.39   99.73  113.62 -170.71   17.04
1.769   1.913    34.40  28.92   52.85   50.62  166.18  -12.32
2.084   1.240    29.75  45.25   57.56  163.79 -168.48   12.61
1.771   2.089    24.16  34.43  134.61  141.26  172.81  -24.88
0.954   1.485    27.53  91.89  101.80   60.79  176.98   -1.23
1.180   1.276    83.45  62.24   90.81  149.19  165.94   18.31
1.549   1.470   122.55  31.84   85.49   71.69  175.38   16.75
1.666   1.141    72.17  42.84   93.51   66.68   -5.46   -5.63
